"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"50","Christian Kirk","WR","JAC","1.4","16.5","13.4","12.4","11.4","12.4","16","","","","","","","","","","","","11.9","83.5"
"51","Mac Jones","QB","NE","25.1","14.7","13.3","2.7","0.4","6.9","20","","","","","","","","","","","","11.9","83.2"
"52","Dallas Cowboys","DST","DAL","37","15","1","27","-1","4","BYE","","","","","","","","","","","","13.8","83"
"53","Bijan Robinson","RB","ATL","17.3","19.2","8","16.2","10.8","10.5","0.3","","","","","","","","","","","","11.8","82.3"
"54","David Montgomery","RB","DET","13.4","11.9","-","33.1","19.9","3.8","-","","","","","","","","","","","","16.4","82.1"
"55","Derrick Henry","RB","TEN","12.9","17","2","23.9","7.7","18.3","BYE","","","","","","","","","","","","13.6","81.8"
"56","Josh Jacobs","RB","LV","8.1","7.4","9.5","23.9","17.4","10.3","4.6","","","","","","","","","","","","11.6","81.2"
"57","James Cook","RB","BUF","8.3","17.9","12.2","14.2","3.6","7.1","17.7","","","","","","","","","","","","11.6","81"
"58","Mark Andrews","TE","BAL","-","13","5.5","22.5","9.5","8.9","20.3","","","","","","","","","","","","13.3","79.7"
"59","Tony Pollard","RB","DAL","21.2","16.4","13.6","7.5","6.4","14","BYE","","","","","","","","","","","","13.2","79.1"
"60","Jake Elliott","K","PHI","18","12","11","18","11","2","7","","","","","","","","","","","","11.3","79"
"61","Brandon Aiyuk","WR","SF","28.9","5.8","-","17.8","7.8","9.6","8.2","","","","","","","","","","","","13","78.1"
"62","George Pickens","WR","PIT","6.1","20.7","9.5","4","23.6","BYE","13.2","","","","","","","","","","","","12.9","77.1"
"63","Dustin Hopkins","K","CLE","12","9","12","5","BYE","17","22","","","","","","","","","","","","12.8","77"
"64","Courtland Sutton","WR","DEN","11.2","9.1","15.1","10.2","1.8","12.6","16.6","","","","","","","","","","","","10.9","76.6"
"65","Brett Maher","K","FA","15","13","11","16","2","15","4","","","","","","","","","","","","10.9","76"
"66","Jerome Ford","RB","CLE","1.6","22.6","18.1","7","BYE","10.1","16.4","","","","","","","","","","","","12.6","75.8"
"67","Marquise Brown","WR","ARI","7.2","14.4","14.6","13.1","14.1","5.4","6.4","","","","","","","","","","","","10.7","75.2"
"68","Buffalo Bills","DST","BUF","5","10","32","9","9","7","2","","","","","","","","","","","","10.6","74"
"69","Anthony Richardson","QB","IND","21.9","17.7","-","29.6","4.4","-","-","","","","","","","","","","","","18.4","73.7"
"70","Kenny Pickett","QB","PIT","11.7","11.3","18.5","4.5","12.4","BYE","15.2","","","","","","","","","","","","12.2","73.5"
"71","Sam LaPorta","TE","DET","6.4","8.8","18.4","7.6","18.2","5.6","8.2","","","","","","","","","","","","10.5","73.2"
"72","Chris Olave","WR","NO","15.2","11.6","14.4","0.9","8.2","13.1","9.2","","","","","","","","","","","","10.4","72.6"
"72","CeeDee Lamb","WR","DAL","9.7","19.8","8.2","12.8","6.9","15.2","BYE","","","","","","","","","","","","12.1","72.6"
"72","Joe Burrow","QB","CIN","3.2","16.4","9.2","4.7","24.4","14.8","BYE","","","","","","","","","","","","12.1","72.6"
"75","T.J. Hockenson","TE","MIN","7.5","22.1","9.8","3.4","7.6","8","14.1","","","","","","","","","","","","10.4","72.5"
"76","Breece Hall","RB","NYJ","15.2","0.9","3.2","8.4","26.9","17.8","BYE","","","","","","","","","","","","12.1","72.4"
"77","Gardner Minshew II","QB","IND","0","11.1","13.1","-","6.3","12.6","28.1","","","","","","","","","","","","11.9","71.2"
"78","Zay Flowers","WR","BAL","13.2","8.8","9","6.5","9.8","14.1","9.5","","","","","","","","","","","","10.1","70.9"
"79","Kendrick Bourne","WR","NE","21.4","4.9","6.6","4.6","5.3","14.3","13.3","","","","","","","","","","","","10.1","70.4"
"80","Harrison Butker","K","KC","8","5","12","11","10","17","7","","","","","","","","","","","","10","70"
"81","Alvin Kamara","RB","NO","-","-","-","14.9","17.2","13.9","23.3","","","","","","","","","","","","17.3","69.3"
"82","Baltimore Ravens","DST","BAL","11","3","7","17","6","11","14","","","","","","","","","","","","9.9","69"
"82","Blake Grupe","K","NO","12","8","5","10","14","9","11","","","","","","","","","","","","9.9","69"
"84","Josh Downs","WR","IND","4.5","5.7","9.7","4.4","12.7","10.6","21","","","","","","","","","","","","9.8","68.6"
"85","Brandon McManus","K","JAC","8","10","5","14","6","17","8","","","","","","","","","","","","9.7","68"
"86","Jimmy Garoppolo","QB","LV","16.1","9.5","20.7","-","11.7","9.9","-","","","","","","","","","","","","13.6","67.9"
"87","Terry McLaurin","WR","WAS","4.1","13.9","7.1","12.6","6.9","11.1","12","","","","","","","","","","","","9.7","67.7"
"88","Tutu Atwell","WR","LAR","14.9","11.7","15.2","4.9","7.9","3.5","9.6","","","","","","","","","","","","9.7","67.7"
"89","Gabe Davis","WR","BUF","4.2","18.2","9.8","13.6","19","1.6","1.1","","","","","","","","","","","","9.6","67.5"
"90","Drake London","WR","ATL","0","15.7","4.1","10.3","11.7","17","8.4","","","","","","","","","","","","9.6","67.2"
"91","Zach Wilson","QB","NYJ","9.2","11.4","6.4","19.2","9.6","10.9","BYE","","","","","","","","","","","","11.1","66.7"
"92","Alexander Mattison","RB","MIN","11.9","3.4","15","10.3","11.6","9.2","5.2","","","","","","","","","","","","9.5","66.6"
"93","Rhamondre Stevenson","RB","NE","11.9","13.5","6.7","5","2.4","15.5","11.5","","","","","","","","","","","","9.5","66.5"
"93","Curtis Samuel","WR","WAS","8.5","4.7","6.4","14.7","15.5","12.2","4.5","","","","","","","","","","","","9.5","66.5"
"93","Josh Reynolds","WR","DET","10","21.1","-","8.4","15.6","6.5","4.9","","","","","","","","","","","","11.1","66.5"
"96","DeVonta Smith","WR","PHI","14.2","21.1","4.8","11.3","1.1","6.9","6.9","","","","","","","","","","","","9.5","66.3"
"97","Matt Gay","K","IND","3","8","24","1","12","10","8","","","","","","","","","","","","9.4","66"
"98","Brandon Aubrey","K","DAL","10","18","11","12","6","8","BYE","","","","","","","","","","","","10.8","65"
"98","Ka'imi Fairbairn","K","HOU","9","8","13","12","15","8","BYE","","","","","","","","","","","","10.8","65"
"98","Nick Folk","K","TEN","18","10","4","11","12","10","BYE","","","","","","","","","","","","10.8","65"
"101","Garrett Wilson","WR","NYJ","11.9","15.3","7.3","10.5","6.9","13","BYE","","","","","","","","","","","","10.8","64.9"
"102","Calvin Ridley","WR","JAC","20.1","4.2","5.5","10.8","17.1","4.6","1","","","","","","","","","","","","9","63.3"
"103","Bryce Young","QB","CAR","9.5","13.5","-","7.2","20.3","12.7","BYE","","","","","","","","","","","","12.6","63.2"
"104","New Orleans Saints","DST","NO","10","7","10","3","24","5","4","","","","","","","","","","","","9","63"
"104","Pittsburgh Steelers","DST","PIT","4","26","11","-1","18","BYE","5","","","","","","","","","","","","10.5","63"
"104","Jake Moody","K","SF","14","14","12","5","6","5","7","","","","","","","","","","","","9","63"
"107","Jaylen Waddle","WR","MIA","9.8","10.4","-","6.6","12","14.6","9.3","","","","","","","","","","","","10.5","62.7"
"108","Rashid Shaheed","WR","NO","16.5","8.3","6","4.8","3.8","17.3","5.2","","","","","","","","","","","","8.8","61.9"
"109","Deebo Samuel","WR","SF","8.8","19.1","22.1","0.6","10","1.1","-","","","","","","","","","","","","10.3","61.7"
"110","Darren Waller","TE","NYG","5.1","10.6","3.5","3.6","12.6","6.8","19.3","","","","","","","","","","","","8.8","61.5"
"111","Romeo Doubs","WR","GB","16.6","4","15.8","14","0.9","BYE","10","","","","","","","","","","","","10.2","61.3"
"112","Rashee Rice","WR","KC","10.1","3","8.4","4.7","11.3","9.2","14.5","","","","","","","","","","","","8.7","61.2"
"113","Saquon Barkley","RB","NYG","7.8","24.2","-","-","-","11.8","17.3","","","","","","","","","","","","15.3","61.1"
"114","Daniel Jones","QB","NYG","6.5","31.7","5","10.7","7.2","-","-","","","","","","","","","","","","12.2","61.1"
"115","Joe Mixon","RB","CIN","8.8","11.5","13.5","8.1","11.4","7.7","BYE","","","","","","","","","","","","10.2","61"
"115","Jacksonville Jaguars","DST","JAC","11","8","-4","20","5","12","9","","","","","","","","","","","","8.7","61"
"115","Seattle Seahawks","DST","SEA","1","13","3","30","BYE","6","8","","","","","","","","","","","","10.2","61"
"118","Michael Thomas","WR","NO","8.6","9","8","7.3","8.5","7","11.7","","","","","","","","","","","","8.6","60.1"
"119","Kansas City Chiefs","DST","KC","4","10","11","5","6","14","10","","","","","","","","","","","","8.6","60"
"120","Dallas Goedert","TE","PHI","0","5.2","6.6","3.5","21.7","6.7","16.2","","","","","","","","","","","","8.6","59.9"
"121","Gus Edwards","RB","BAL","5.2","12.2","5.1","5.9","4.8","5.8","20.9","","","","","","","","","","","","8.6","59.9"
"122","George Kittle","TE","SF","3.4","4.5","12.5","1.4","26.2","0.6","10.5","","","","","","","","","","","","8.4","59.1"
"123","Tyler Bass","K","BUF","13","8","15","14","2","2","5","","","","","","","","","","","","8.4","59"
