nfl_players_list_id,week,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Roster Position,RK,MATCHUP ,START/SIT,PROJ. FPTS,Rank,PTS_AVG,PTS_TTL,TGT_AVG,TGT_TTL,dpp,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,8,RB,Breece,Breece Hall,Hall,12.06666692,6,7200,NYJ@NYG,NYJ,NYG,,,RB/FLEX,7,3 out of 5 stars,A,15.2,76,12.1,72.4,3,18,595,15.2,0.9,3.2,8.4,26.9,17.8,,,,,,,,,,,,
,8,RB,Jonathan,Jonathan Taylor,Taylor,10.80000051,3,7100,NO@IND,IND,NO,,,RB/FLEX,16,3 out of 5 stars,B,12.8,235,10.8,32.4,3.7,11,657,,,,,3.9,9,19.5,,,,,,,,,,,
,8,RB,Bijan,Bijan Robinson,Robinson,11.75714329,7,7100,ATL@TEN,ATL,TEN,Q,Illness,RB/FLEX,12,3 out of 5 stars,A-,14.2,53,11.8,82.3,4.6,32,602,17.3,19.2,8,16.2,10.8,10.5,0.3,,,,,,,,,,,
,8,RB,Kareem,Kareem Hunt,Hunt,8.850000381,4,7000,CLE@SEA,CLE,SEA,,,RB/FLEX,29,2 out of 5 stars,C,9.5,217,8.9,35.4,1.8,7,787,,,4.5,1.2,,14.6,15.1,,,,,,,,,,,
,8,RB,Jerome,Jerome Ford,Ford,12.63333384,6,7000,CLE@SEA,CLE,SEA,D,Ankle,RB/FLEX,74,2 out of 5 stars,F,2,66,12.6,75.8,3.2,19,556,1.6,22.6,18.1,7,,10.1,16.4,,,,,,,,,,,
,8,RB,Aaron,Aaron Jones,Jones,11.59999975,3,6800,MIN@GB,GB,MIN,,,RB/FLEX,19,2 out of 5 stars,B,12,220,11.6,34.8,3.7,11,586,25.7,,,1.9,,,7.2,,,,,,,,,,,
,8,RB,Dameon,Dameon Pierce,Pierce,7.833333333,6,6700,HOU@CAR,HOU,CAR,,,RB/FLEX,28,5 out of 5 stars,C,9.7,167,7.8,47,2,12,859,5.7,4.5,13.4,11.3,8.7,3.4,,,,,,,,,,,,
,8,RB,Gus,Gus Edwards,Edwards,8.557143075,7,6600,BAL@ARI,BAL,ARI,,,RB/FLEX,24,4 out of 5 stars,C+,10.4,121,8.6,59.9,0.7,5,767,5.2,12.2,5.1,5.9,4.8,5.8,20.9,,,,,,,,,,,
,8,RB,AJ,AJ Dillon,Dillon,6.650000254,6,6500,MIN@GB,GB,MIN,,,RB/FLEX,38,2 out of 5 stars,C-,7.5,199,6.7,39.9,1.3,8,970,4.6,6.8,3.3,1.1,13.6,,10.5,,,,,,,,,,,
,8,RB,Joe,Joe Mixon,Mixon,10.16666667,6,6500,CIN@SF,CIN,SF,,,RB/FLEX,17,3 out of 5 stars,B,12.6,115,10.2,61,3.5,21,637,8.8,11.5,13.5,8.1,11.4,7.7,,,,,,,,,,,,
,8,RB,Rhamondre,Rhamondre Stevenson,Stevenson,9.5,7,6400,NE@MIA,NE,MIA,,,RB/FLEX,25,5 out of 5 stars,C+,10.1,93,9.5,66.5,4.3,30,674,11.9,13.5,6.7,5,2.4,15.5,11.5,,,,,,,,,,,
,8,RB,Miles,Miles Sanders,Sanders,7.319999695,5,6300,HOU@CAR,CAR,HOU,Q,Shoulder,RB/FLEX,35,3 out of 5 stars,C-,8.2,214,7.3,36.6,4.8,24,863,9.8,6.2,14.7,4.7,1.2,,,,,,,,,,,,,
,8,RB,Najee,Najee Harris,Harris,7.53333346,6,6300,JAC@PIT,PIT,JAC,,,RB/FLEX,31,3 out of 5 stars,C,9.1,175,7.5,45.2,2,12,840,4.3,4.8,6.5,10.8,4.5,,14.3,,,,,,,,,,,
,8,RB,Chuba,Chuba Hubbard,Hubbard,7.099999746,6,6300,HOU@CAR,CAR,HOU,,,RB/FLEX,30,3 out of 5 stars,C,9.3,186,7.1,42.6,2.5,15,887,7.9,7.5,1.4,6.3,4,15.5,,,,,,,,,,,,
,8,RB,Elijah,Elijah Mitchell,Mitchell,1.625,4,6200,CIN@SF,SF,CIN,,,RB/FLEX,49,4 out of 5 stars,F,5.1,394,1.6,6.5,1,4,3875,1,,5.9,,,-0.3,-0.1,,,,,,,,,,,
,8,RB,Tyler,Tyler Allgeier,Allgeier,8.157142639,7,6200,ATL@TEN,ATL,TEN,,,RB/FLEX,37,3 out of 5 stars,C-,7.6,129,8.2,57.1,1.9,13,756,22.9,4.8,3.9,1.7,6,5.1,12.7,,,,,,,,,,,
,8,RB,Zack,Zack Moss,Moss,17.21666718,6,6100,NO@IND,IND,NO,,,RB/FLEX,32,3 out of 5 stars,C,9,29,17.2,103.3,3.2,19,355,,18.7,21.5,9,32.5,14.9,6.7,,,,,,,,,,,
,8,RB,Brian,Brian Robinson Jr.,Robinson Jr.,12.47142901,7,6100,PHI@WAS,WAS,PHI,,,RB/FLEX,26,2 out of 5 stars,C,10.1,43,12.5,87.3,2,14,488,13.1,27.9,7,12.1,6.3,12.6,8.3,,,,,,,,,,,
,8,RB,Alexander,Alexander Mattison,Mattison,9.514285496,7,6100,MIN@GB,MIN,GB,,,RB/FLEX,21,5 out of 5 stars,B-,11.1,92,9.5,66.6,4.4,31,642,11.9,3.4,15,10.3,11.6,9.2,5.2,,,,,,,,,,,
,8,RB,Javonte,Javonte Williams,Williams,7.116666794,6,6000,KC@DEN,DEN,KC,,,RB/FLEX,23,3 out of 5 stars,C+,10.5,185,7.1,42.7,3.2,19,845,7.7,6.8,7.5,2.4,,7.2,11.1,,,,,,,,,,,
,8,RB,Darrell,Darrell Henderson Jr.,Henderson Jr.,13.10000038,1,5900,LAR@DAL,LAR,DAL,,,RB/FLEX,27,2 out of 5 stars,C,10,333,13.1,13.1,2,2,450,,,,,,,13.1,,,,,,,,,,,
,8,RB,Jeff,Jeff Wilson Jr.,Wilson Jr.,0.899999976,1,5800,NE@MIA,MIA,NE,,,RB/FLEX,47,3 out of 5 stars,D-,5.6,494,0.9,0.9,1,1,6444,,,,,,,0.9,,,,,,,,,,,
,8,RB,Jaylen,Jaylen Warren,Warren,8.183333079,6,5800,JAC@PIT,PIT,JAC,,,RB/FLEX,33,3 out of 5 stars,C,8.8,162,8.2,49.1,4.5,27,707,4.3,10.6,6.7,8.5,9.4,,9.6,,,,,,,,,,,
,8,RB,Jordan,Jordan Mason,Mason,6.375,4,5700,CIN@SF,SF,CIN,,,RB/FLEX,64,4 out of 5 stars,F,3.6,264,4.3,25.5,0.3,2,1326,,0,1.1,2.8,12.9,8.7,0,,,,,,,,,,,
,8,RB,Ezekiel,Ezekiel Elliott,Elliott,6.399999891,7,5700,NE@MIA,NE,MIA,,,RB/FLEX,43,5 out of 5 stars,D,6.5,178,6.4,44.8,2.4,17,891,4.8,1.3,9.2,3.2,5.8,11.4,9.1,,,,,,,,,,,
,8,RB,Emari,Emari Demercado,Demercado,4.916666667,6,5600,BAL@ARI,ARI,BAL,,,RB/FLEX,34,3 out of 5 stars,C,8.3,248,4.9,29.5,2.1,15,1143,,1.5,0.2,3.9,12.2,2.2,9.5,,,,,,,,,,,
,8,RB,Kenneth,Kenneth Gainwell,Gainwell,5.416666667,6,5600,PHI@WAS,PHI,WAS,,,RB/FLEX,53,3 out of 5 stars,F,4.8,234,5.4,32.5,2,12,1037,9.4,,5.3,5.1,2.9,2.2,7.6,,,,,,,,,,,
,8,RB,Royce,Royce Freeman,Freeman,6.599999905,1,5500,LAR@DAL,LAR,DAL,,,RB/FLEX,44,2 out of 5 stars,D,6.2,392,2.2,6.6,0,0,2500,,,0,0,,,6.6,,,,,,,,,,,
,8,RB,Devin,Devin Singletary,Singletary,4.156666756,6,5400,HOU@CAR,HOU,CAR,,,RB/FLEX,40,5 out of 5 stars,D+,7.2,268,4.2,24.9,1.2,7,1286,1.5,2.9,5.5,8.3,0,6.7,,,,,,,,,,,,
,8,RB,Pierre,Pierre Strong Jr.,Strong Jr.,4.050000191,4,5300,CLE@SEA,CLE,SEA,,,RB/FLEX,46,2 out of 5 stars,D,6.1,315,2.7,16.2,0.2,1,1963,0,6.1,2.7,4.9,,0,2.5,,,,,,,,,,,
,8,RB,Justice,Justice Hill,Hill,7.299999873,6,5300,BAL@ARI,BAL,ARI,,,RB/FLEX,39,4 out of 5 stars,D+,7.3,181,7.3,43.8,1.8,11,726,12.9,6.8,,3.3,10.5,5,5.3,,,,,,,,,,,
,8,RB,Cordarrelle,Cordarrelle Patterson,Patterson,2.633333365,3,5200,ATL@TEN,ATL,TEN,,,RB/FLEX,60,3 out of 5 stars,F,4.1,380,2.6,7.9,0.5,2,2000,,,,,1.2,1.1,5.6,,,,,,,,,,,
,8,RB,Boston,Boston Scott,Scott,1.899999976,4,5200,PHI@WAS,PHI,WAS,,,RB/FLEX,78,3 out of 5 stars,F,1.6,381,1.9,7.6,0.5,2,2737,1.5,4,,,,2.1,0,,,,,,,,,,,
,8,RB,Cam,Cam Akers,Akers,5.379999924,5,5200,MIN@GB,MIN,GB,,,RB/FLEX,57,5 out of 5 stars,F,4.6,257,5.4,26.9,1.6,8,963,8.9,,,6.1,2.8,2,7.1,,,,,,,,,,,
,8,RB,Matt,Matt Breida,Breida,3.82857132,7,5100,NYJ@NYG,NYG,NYJ,,,RB/FLEX,71,2 out of 5 stars,F,2.8,258,3.8,26.8,1.7,12,1342,1.1,0.5,9.3,10.3,2.9,1.3,1.4,,,,,,,,,,,
,8,RB,Keaontay,Keaontay Ingram,Ingram,2.224999905,4,5100,BAL@ARI,ARI,BAL,,,RB/FLEX,70,3 out of 5 stars,F,2.8,368,2.2,8.9,0.8,3,2318,-0.4,0.6,2.6,,,6.1,,,,,,,,,,,,
,8,RB,Jamaal,Jamaal Williams,Williams,3.5,3,5100,NO@IND,NO,IND,,,RB/FLEX,50,3 out of 5 stars,F,5,353,3.5,10.5,0.7,2,1457,6.2,2.9,,,,,1.4,,,,,,,,,,,
,8,RB,Dalvin,Dalvin Cook,Cook,3,6,5000,NYJ@NYG,NYJ,NYG,,,RB/FLEX,58,3 out of 5 stars,F,4.3,303,3,18,1.5,9,1667,7.4,-0.3,4.4,2.3,2.3,1.9,,,,,,,,,,,,
,8,RB,Jaleel,Jaleel McLaughlin,McLaughlin,7.485714504,7,5000,KC@DEN,DEN,KC,,,RB/FLEX,41,3 out of 5 stars,D,7,152,7.5,52.4,1.7,12,667,-0.2,6.5,1.5,17.9,16.4,5.2,5.1,,,,,,,,,,,
,8,RB,Tyjae,Tyjae Spears,Spears,6.950000127,6,4900,ATL@TEN,TEN,ATL,,,RB/FLEX,42,3 out of 5 stars,D,6.7,191,7,41.7,3.3,20,700,3.3,6.5,2.9,7.3,14.9,6.8,,,,,,,,,,,,
,8,RB,Salvon,Salvon Ahmed,Ahmed,4.599999905,4,4800,NE@MIA,MIA,NE,,,RB/FLEX,62,3 out of 5 stars,F,3.9,301,4.6,18.4,2.6,13,1043,1.1,5.6,,,,10.9,0.8,,,,,,,,,,,
,8,RB,Jerick,Jerick McKinnon,McKinnon,4.685714177,7,4800,KC@DEN,KC,DEN,,,RB/FLEX,52,3 out of 5 stars,F,4.9,231,4.7,32.8,2.7,19,1021,1.5,3.7,16.3,0.7,3.5,3.5,3.6,,,,,,,,,,,
,8,RB,Damien,Damien Williams,Williams,2.549999952,2,4700,BAL@ARI,ARI,BAL,,,RB/FLEX,65,3 out of 5 stars,F,3.5,411,2.6,5.1,0.5,1,1808,,,,,,4.9,0.2,,,,,,,,,,,
,8,RB,Antonio,Antonio Gibson,Gibson,4.685714177,7,4700,PHI@WAS,WAS,PHI,,,RB/FLEX,51,2 out of 5 stars,F,4.9,231,4.7,32.8,2.7,19,1000,0.4,6.8,1.9,3.1,8.4,8.1,4.1,,,,,,,,,,,
,8,RB,Rico,Rico Dowdle,Dowdle,4.03333346,6,4600,LAR@DAL,DAL,LAR,,,RB/FLEX,54,3 out of 5 stars,F,4.8,273,4,24.2,1,6,1150,2.4,4.8,12.1,2.2,1.5,1.2,,,,,,,,,,,,
,8,RB,Chris,Chris Rodriguez Jr.,Rodriguez Jr.,1.524999976,4,4600,PHI@WAS,WAS,PHI,,,RB/FLEX,73,2 out of 5 stars,F,2.1,400,1.5,6.1,0,0,3067,0.7,0,,,,2.3,3.1,,,,,,,,,,,
