"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"Jerry Jeudy","WR","DEN","-","5","7","5","7","5","5","","","","","","","","","","","","34","5.7"
"Bijan Robinson","RB","ATL","6","5","6","5","2","8","0","","","","","","","","","","","","32","4.6"
"Deebo Samuel","WR","SF","7","9","12","0","3","1","-","","","","","","","","","","","","32","5.3"
"George Kittle","TE","SF","6","3","9","1","4","2","7","","","","","","","","","","","","32","4.6"
"Logan Thomas","TE","WAS","8","3","-","3","11","1","6","","","","","","","","","","","","32","5.3"
"DK Metcalf","WR","SEA","5","6","8","4","bye","9","-","","","","","","","","","","","","32","6.4"
"Jaxon Smith-Njigba","WR","SEA","5","6","3","6","bye","5","7","","","","","","","","","","","","32","5.3"
"Cole Kmet","TE","CHI","7","6","2","9","5","3","0","","","","","","","","","","","","32","4.6"
"Darius Slayton","WR","NYG","5","6","6","3","4","6","2","","","","","","","","","","","","32","4.6"
"Michael Gallup","WR","DAL","2","2","7","6","5","10","bye","","","","","","","","","","","","32","5.3"
"David Njoku","TE","CLE","3","4","4","7","bye","4","9","","","","","","","","","","","","31","5.2"
"Alexander Mattison","RB","MIN","4","6","7","1","3","7","3","","","","","","","","","","","","31","4.4"
"Hunter Henry","TE","NE","6","7","5","5","2","3","3","","","","","","","","","","","","31","4.4"
"Jayden Reed","WR","GB","5","8","7","5","2","bye","4","","","","","","","","","","","","31","5.2"
"Josh Reynolds","WR","DET","7","6","0","6","5","3","3","","","","","","","","","","","","30","4.3"
"Christian McCaffrey","RB","SF","5","3","5","8","3","3","3","","","","","","","","","","","","30","4.3"
"Rhamondre Stevenson","RB","NE","6","3","4","3","2","6","6","","","","","","","","","","","","30","4.3"
"D'Andre Swift","RB","PHI","2","3","2","4","6","10","3","","","","","","","","","","","","30","4.3"
"Jonathan Mingo","WR","CAR","5","8","6","-","7","3","bye","","","","","","","","","","","","29","5.8"
"Travis Etienne Jr.","RB","JAC","5","3","5","3","5","3","5","","","","","","","","","","","","29","4.1"
"Tony Pollard","RB","DAL","3","8","3","3","5","7","bye","","","","","","","","","","","","29","4.8"
"Jake Ferguson","TE","DAL","7","4","7","7","3","1","bye","","","","","","","","","","","","29","4.8"
"Jahmyr Gibbs","RB","DET","2","9","2","5","-","-","10","","","","","","","","","","","","28","5.6"
"Tank Dell","WR","HOU","4","10","7","3","4","-","bye","","","","","","","","","","","","28","5.6"
"Rondale Moore","WR","ARI","3","1","6","2","5","7","4","","","","","","","","","","","","28","4.0"
"Luke Musgrave","TE","GB","4","3","8","1","7","bye","5","","","","","","","","","","","","28","4.7"
"Dawson Knox","TE","BUF","4","5","3","1","6","6","3","","","","","","","","","","","","28","4.0"
"Cooper Kupp","WR","LAR","-","-","-","-","12","9","7","","","","","","","","","","","","28","9.3"
"Terrace Marshall Jr.","WR","CAR","6","0","8","10","-","3","bye","","","","","","","","","","","","27","5.4"
"Jaylen Warren","RB","PIT","6","6","4","6","3","bye","2","","","","","","","","","","","","27","4.5"
"Allen Robinson II","WR","PIT","8","3","4","2","9","bye","1","","","","","","","","","","","","27","4.5"
"Michael Wilson","WR","ARI","4","3","2","7","2","4","5","","","","","","","","","","","","27","3.9"
"Tyler Conklin","TE","NYJ","1","6","5","6","5","4","bye","","","","","","","","","","","","27","4.5"
"Dalton Kincaid","TE","BUF","4","6","2","5","2","-","8","","","","","","","","","","","","27","4.5"
"DJ Chark Jr.","WR","CAR","-","1","11","3","6","6","bye","","","","","","","","","","","","27","5.4"
"Wan'Dale Robinson","WR","NYG","-","-","5","6","6","8","2","","","","","","","","","","","","27","5.4"
"Kadarius Toney","WR","KC","5","5","1","2","6","6","1","","","","","","","","","","","","26","3.7"
"Chigoziem Okonkwo","TE","TEN","2","4","4","3","9","4","bye","","","","","","","","","","","","26","4.3"
"Kylen Granson","TE","IND","6","4","4","5","3","4","-","","","","","","","","","","","","26","4.3"
"Mike Williams","WR","LAC","5","13","8","-","bye","-","-","","","","","","","","","","","","26","8.7"
"Alec Pierce","WR","IND","3","2","7","2","2","6","3","","","","","","","","","","","","25","3.6"
"JuJu Smith-Schuster","WR","NE","7","6","3","5","4","-","-","","","","","","","","","","","","25","5.0"
"Skyy Moore","WR","KC","3","4","6","2","2","4","3","","","","","","","","","","","","24","3.4"
"Miles Sanders","RB","CAR","6","5","9","3","1","-","bye","","","","","","","","","","","","24","4.8"
"Kyren Williams","RB","LAR","2","10","7","3","2","0","-","","","","","","","","","","","","24","4.0"
"Isiah Pacheco","RB","KC","4","2","3","3","1","6","4","","","","","","","","","","","","23","3.3"
"Mack Hollins","WR","ATL","4","6","4","3","2","4","0","","","","","","","","","","","","23","3.3"
"Nick Westbrook-Ikhine","WR","TEN","7","3","0","6","3","4","bye","","","","","","","","","","","","23","3.8"
"Rachaad White","RB","TB","2","5","3","3","bye","4","6","","","","","","","","","","","","23","3.8"
"Cade Otton","TE","TB","3","6","2","4","bye","2","6","","","","","","","","","","","","23","3.8"
"Gerald Everett","TE","LAC","3","3","6","2","bye","5","4","","","","","","","","","","","","23","3.8"
"Raheem Mostert","RB","MIA","2","1","7","5","2","3","3","","","","","","","","","","","","23","3.3"
"Demario Douglas","WR","NE","7","2","3","3","2","-","6","","","","","","","","","","","","23","3.8"
"Darnell Mooney","WR","CHI","7","0","1","4","4","3","4","","","","","","","","","","","","23","3.3"
"Samaje Perine","RB","DEN","4","4","3","2","5","2","3","","","","","","","","","","","","23","3.3"
"Parris Campbell","WR","NYG","4","6","6","5","2","0","0","","","","","","","","","","","","23","3.3"
"Brandin Cooks","WR","DAL","4","-","7","4","4","4","bye","","","","","","","","","","","","23","4.6"
"Allen Lazard","WR","NYJ","4","4","5","3","4","3","bye","","","","","","","","","","","","23","3.8"
"DeVante Parker","WR","NE","-","8","3","4","4","3","1","","","","","","","","","","","","23","3.8"
"Odell Beckham Jr.","WR","BAL","3","4","-","-","4","4","7","","","","","","","","","","","","22","4.4"
"Hayden Hurst","TE","CAR","7","3","3","3","3","3","bye","","","","","","","","","","","","22","3.7"
"Calvin Austin III","WR","PIT","6","4","6","5","1","bye","0","","","","","","","","","","","","22","3.7"
"Braxton Berrios","WR","MIA","5","3","2","6","2","2","2","","","","","","","","","","","","22","3.1"
