#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL,,,,
42,Chuba Hubbard,RB,CAR,14.9,13.7,,,,,,,,,,,,,,,,,14.3,28.6,Chuba Hubbard,,13.7,14.9
43,Emeka Egbuka,WR,TB,19.6,8.9,,,,,,,,,,,,,,,,,14.3,28.5,Emeka Egbuka,,8.9,19.6
44,J.J. McCarthy,QB,MIN,23.2,4.8,,,,,,,,,,,,,,,,,14,28,J.J. McCarthy,,4.8,23.2
45,Josh Jacobs,RB,GB,13,14.4,,,,,,,,,,,,,,,,,13.7,27.4,Josh Jacobs,,13,14.4
46,J.K. Dobbins,RB,DEN,12.8,14.5,,,,,,,,,,,,,,,,,13.7,27.3,J.K. Dobbins,,12.8,14.5
47,Tua Tagovailoa,QB,MIA,7.3,19.6,,,,,,,,,,,,,,,,,13.4,26.9,Tua Tagovailoa,,7.3,19.6
48,Tucker Kraft,TE,GB,7.9,18.4,,,,,,,,,,,,,,,,,13.2,26.3,Tucker Kraft,,7.9,18.4
49,Deebo Samuel Sr.,WR,WAS,15.6,10.4,,,,,,,,,,,,,,,,,13,26,Deebo Samuel Sr.,,10.4,15.6
49,Chris Boswell,K,PIT,14,12,,,,,,,,,,,,,,,,,13,26,Chris Boswell,,12,14
49,Matt Prater,K,BUF,12,14,,,,,,,,,,,,,,,,,13,26,Matt Prater,,12,14
52,Wan'Dale Robinson,WR,NYG,5.5,20.2,,,,,,,,,,,,,,,,,12.9,25.7,Wan'Dale Robinson,WR:NYG,5.5,20.2
53,Jaylen Warren,RB,PIT,11.9,13.4,,,,,,,,,,,,,,,,,12.7,25.3,Jaylen Warren,,11.9,13.4
54,Ja'Marr Chase,WR,CIN,2.6,22.5,,,,,,,,,,,,,,,,,12.6,25.1,Ja'Marr Chase,,2.6,22.5
55,Cam Little,K,JAC,15,10,,,,,,,,,,,,,,,,,12.5,25,Cam Little,,10,15
55,Tyler Loop,K,BAL,13,12,,,,,,,,,,,,,,,,,12.5,25,Tyler Loop,,12,13
57,Keenan Allen,WR,LAC,12.8,12.1,,,,,,,,,,,,,,,,,12.5,24.9,Keenan Allen,,12.1,12.8
58,C.J. Stroud,QB,HOU,9.7,15,,,,,,,,,,,,,,,,,12.4,24.7,C.J. Stroud,,9.7,15
59,Geno Smith,QB,LV,18.5,6.2,,,,,,,,,,,,,,,,,12.3,24.7,Geno Smith,,6.2,18.5
60,Joe Flacco,QB,CLE,14.2,9.8,,,,,,,,,,,,,,,,,12,24,Joe Flacco,,9.8,14.2
61,Sam Darnold,QB,SEA,5.4,17.8,,,,,,,,,,,,,,,,,11.6,23.2,Sam Darnold,,5.4,17.8
62,Ka'imi Fairbairn,K,HOU,14,9,,,,,,,,,,,,,,,,,11.5,23,Ka'imi Fairbairn,,9,14
62,Daniel Carlson,K,LV,11,12,,,,,,,,,,,,,,,,,11.5,23,Daniel Carlson,,11,12
64,Bucky Irving,RB,TB,10.5,12.1,,,,,,,,,,,,,,,,,11.3,22.6,Bucky Irving,,10.5,12.1
65,CeeDee Lamb,WR,DAL,11,11.2,,,,,,,,,,,,,,,,,11.1,22.2,CeeDee Lamb,,11,11.2
66,Seattle Seahawks,DST,SEA,8,14,,,,,,,,,,,,,,,,,11,22,Seattle Seahawks,,8,14
66,Atlanta Falcons,DST,ATL,1,21,,,,,,,,,,,,,,,,,11,22,Atlanta Falcons,,1,21
68,DeAndre Hopkins,WR,BAL,9.5,12.4,,,,,,,,,,,,,,,,,11,21.9,DeAndre Hopkins,,9.5,12.4
69,Mac Jones,QB,SF,-,21.8,,,,,,,,,,,,,,,,,21.8,21.8,Mac Jones,,21.8,21.8
70,Davante Adams,WR,LAR,5.1,16.6,,,,,,,,,,,,,,,,,10.9,21.7,Davante Adams,,5.1,16.6
70,Alvin Kamara,RB,NO,11.7,10,,,,,,,,,,,,,,,,,10.9,21.7,Alvin Kamara,,10,11.7
72,James Conner,RB,ARI,10.4,11.2,,,,,,,,,,,,,,,,,10.8,21.6,James Conner,,10.4,11.2
73,Jahmyr Gibbs,RB,DET,5,16.4,,,,,,,,,,,,,,,,,10.7,21.4,Jahmyr Gibbs,,5,16.4
74,Chad Ryland,K,ARI,11,10,,,,,,,,,,,,,,,,,10.5,21,Chad Ryland,,10,11
74,Graham Gano,K,NYG,8,13,,,,,,,,,,,,,,,,,10.5,21,Graham Gano,K:NYG,8,13
74,Zach Ertz,TE,WAS,8.6,12.4,,,,,,,,,,,,,,,,,10.5,21,Zach Ertz,,8.6,12.4
77,Kyren Williams,RB,LAR,12.9,8,,,,,,,,,,,,,,,,,10.5,20.9,Kyren Williams,,8,12.9
78,Jake Browning,QB,CIN,-,20.7,,,,,,,,,,,,,,,,,20.7,20.7,Jake Browning,,20.7,20.7
79,Jaxon Smith-Njigba,WR,SEA,10.4,10.3,,,,,,,,,,,,,,,,,10.4,20.7,Jaxon Smith-Njigba,,10.3,10.4
80,Garrett Wilson,WR,NYJ,15.5,5,,,,,,,,,,,,,,,,,10.3,20.5,Garrett Wilson,,5,15.5
81,Troy Franklin,WR,DEN,4.4,16,,,,,,,,,,,,,,,,,10.2,20.4,Troy Franklin,,4.4,16
82,Kenneth Walker III,RB,SEA,2.4,17.8,,,,,,,,,,,,,,,,,10.1,20.2,Kenneth Walker III,,2.4,17.8
83,New England Patriots,DST,NE,7,13,,,,,,,,,,,,,,,,,10,20,New England Patriots,,7,13
83,Jake Elliott,K,PHI,8,12,,,,,,,,,,,,,,,,,10,20,Jake Elliott,,8,12
83,Brandon McManus,K,GB,9,11,,,,,,,,,,,,,,,,,10,20,Brandon McManus,,9,11
86,Keon Coleman,WR,BUF,17.2,2.6,,,,,,,,,,,,,,,,,9.9,19.8,Keon Coleman,,2.6,17.2
87,Jameson Williams,WR,DET,2.6,16.8,,,,,,,,,,,,,,,,,9.7,19.4,Jameson Williams,,2.6,16.8
87,Cedric Tillman,WR,CLE,11.2,8.2,,,,,,,,,,,,,,,,,9.7,19.4,Cedric Tillman,,8.2,11.2
89,Nick Chubb,RB,HOU,6,13.2,,,,,,,,,,,,,,,,,9.6,19.2,Nick Chubb,,6,13.2
90,Jacksonville Jaguars,DST,JAC,11,8,,,,,,,,,,,,,,,,,9.5,19,Jacksonville Jaguars,,8,11
90,Los Angeles Rams,DST,LAR,11,8,,,,,,,,,,,,,,,,,9.5,19,Los Angeles Rams,,8,11
92,Justin Jefferson,WR,MIN,10.8,8.1,,,,,,,,,,,,,,,,,9.5,18.9,Justin Jefferson,,8.1,10.8
92,Rhamondre Stevenson,RB,NE,2.7,16.2,,,,,,,,,,,,,,,,,9.5,18.9,Rhamondre Stevenson,,2.7,16.2
94,Brock Purdy,QB,SF,18.8,-,,,,,,,,,,,,,,,,,18.8,18.8,Brock Purdy,,18.8,18.8
95,Juwan Johnson,TE,NO,7.6,10.9,,,,,,,,,,,,,,,,,9.3,18.5,Juwan Johnson,,7.6,10.9
96,Dyami Brown,WR,JAC,5.8,12.6,,,,,,,,,,,,,,,,,9.2,18.4,Dyami Brown,,5.8,12.6
97,Breece Hall,RB,NYJ,14.5,3.8,,,,,,,,,,,,,,,,,9.2,18.3,Breece Hall,,3.8,14.5
98,Parker Romo,K,ATL,-,18,,,,,,,,,,,,,,,,,18,18,Parker Romo,,18,18
98,Arizona Cardinals,DST,ARI,5,13,,,,,,,,,,,,,,,,,9,18,Arizona Cardinals,,5,13
98,Harrison Butker,K,KC,11,7,,,,,,,,,,,,,,,,,9,18,Harrison Butker,K:KC,7,11
98,Michael Pittman Jr.,WR,IND,14,4,,,,,,,,,,,,,,,,,9,18,Michael Pittman Jr.,,4,14
102,Hunter Renfrow,WR,CAR,1.1,16.8,,,,,,,,,,,,,,,,,9,17.9,Hunter Renfrow,,1.1,16.8
102,Kayshon Boutte,WR,NE,10.3,7.6,,,,,,,,,,,,,,,,,9,17.9,Kayshon Boutte,,7.6,10.3
104,Chase Brown,RB,CIN,11.1,6.5,,,,,,,,,,,,,,,,,8.8,17.6,Chase Brown,,6.5,11.1
105,D'Andre Swift,RB,CHI,6.5,10.9,,,,,,,,,,,,,,,,,8.7,17.4,D'Andre Swift,,6.5,10.9
