"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"535","Ty Chandler","RB","MIN","0","-","-","-","-","BYE","-","-","-","","","","","","","","","","0","0"
"535","Quintin Morris","TE","JAC","-","0","-","0","0","0","-","BYE","-","","","","","","","","","","0","0"
"535","Logan Woodside","QB","FA","-","0","0","0","-","-","-","-","-","","","","","","","","","","0","0"
"535","Jack Westover","TE","NE","0","0","0","0","0","0","0","0","0","","","","","","","","","","0","0"
"535","James Winchester","TE","KC","-","0","0","-","-","-","-","-","-","","","","","","","","","","0","0"
"535","Josiah Deguara","TE","FA","-","0","-","-","-","-","0","-","0","","","","","","","","","","0","0"
"535","Brayden Willis","TE","SF","-","0","0","0","0","0","-","-","-","","","","","","","","","","0","0"
"535","Jordan Mims","RB","TEN","-","0","-","-","-","-","-","-","-","","","","","","","","","","0","0"
"535","Jeremiah Webb","WR","NE","0","-","-","-","-","-","-","-","-","","","","","","","","","","0","0"
"535","Cameron Latu","TE","PHI","-","0","0","0","0","0","0","0","BYE","","","","","","","","","","0","0"
"535","Travis Vokolek","TE","ARI","0","0","-","-","0","-","-","BYE","-","","","","","","","","","","0","0"
"535","Kevin Austin Jr.","WR","NO","-","-","0","-","-","-","-","-","-","","","","","","","","","","0","0"
"535","Brady Russell","TE","SEA","0","0","0","0","0","0","0","BYE","0","","","","","","","","","","0","0"
"535","Payne Durham","TE","TB","0","0","0","0","0","0","0","0","BYE","","","","","","","","","","0","0"
"535","Jamal Agnew","WR","ATL","0","-","-","0","BYE","0","0","0","0","","","","","","","","","","0","0"
"535","Robbie Ouzts","TE","SEA","0","0","0","-","-","-","-","BYE","0","","","","","","","","","","0","0"
"535","Ko Kieft","TE","TB","0","0","0","-","-","-","-","-","BYE","","","","","","","","","","0","0"
"535","Moliki Matavao","TE","NO","0","0","-","0","-","-","-","-","-","","","","","","","","","","0","0"
"535","Ulysses Bentley IV","RB","IND","0","-","-","-","-","-","-","-","-","","","","","","","","","","0","0"
"535","Jakob Johnson","RB","HOU","0","0","0","-","-","BYE","-","-","-","","","","","","","","","","0","0"
"535","Justin Shorter","WR","LV","0","-","0","0","-","0","0","BYE","-","","","","","","","","","","0","0"
"535","LaJohntay Wester","WR","BAL","0","0","0","0","0","0","BYE","-","0","","","","","","","","","","0","0"
"535","Shane Zylstra","TE","DET","0","-","-","-","-","-","-","BYE","-","","","","","","","","","","0","0"
"535","Jason Brownlee","WR","KC","0","0","0","-","0","0","-","-","-","","","","","","","","","","0","0"
"535","Teagan Quitoriano","TE","ATL","0","0","0","0","BYE","0","-","0","-","","","","","","","","","","0","0"
"535","Isaac Guerendo","RB","SF","0","0","0","-","0","-","0","-","0","","","","","","","","","","0","0"
"535","Sincere McCormick","RB","SF","-","-","0","-","-","-","-","-","-","","","","","","","","","","0","0"
"535","Treyton Welch","TE","NO","-","-","0","-","-","-","-","-","-","","","","","","","","","","0","0"
"535","Simi Fehoko","WR","ARI","-","-","0","0","0","0","0","BYE","0","","","","","","","","","","0","0"
